"Wavelength, µm","n","k"
0.20664,1.5789,2.5067
0.20767,1.5882,2.5208
0.2087,1.5976,2.5352
0.20975,1.6072,2.5502
0.21081,1.617,2.5656
0.21188,1.627,2.5816
0.21295,1.6371,2.5981
0.21404,1.6475,2.6153
0.21515,1.6581,2.6331
0.21626,1.6689,2.6517
0.21738,1.68,2.671
0.21852,1.6915,2.6911
0.21967,1.7032,2.7121
0.22083,1.7154,2.734
0.222,1.728,2.757
0.22318,1.7411,2.7811
0.22438,1.7548,2.8064
0.22559,1.7691,2.833
0.22681,1.7841,2.8611
0.22805,1.8,2.8906
0.2293,1.8168,2.9219
0.23057,1.8348,2.9549
0.23184,1.8542,2.9899
0.23314,1.8751,3.0271
0.23444,1.8978,3.0666
0.23577,1.9228,3.1085
0.2371,1.9503,3.1531
0.23845,1.9809,3.2006
0.23982,2.0151,3.2511
0.2412,2.0538,3.3047
0.2426,2.0978,3.3615
0.24402,2.148,3.4214
0.24545,2.2059,3.4843
0.2469,2.2728,3.5497
0.24837,2.3505,3.6168
0.24985,2.4408,3.6842
0.25135,2.5458,3.7499
0.25287,2.6674,3.811
0.25441,2.807,3.8632
0.25597,2.9651,3.9012
0.25755,3.1401,3.9185
0.25914,3.3281,3.9082
0.26076,3.5217,3.8646
0.26239,3.7105,3.7844
0.26405,3.8827,3.6691
0.26573,4.0277,3.5252
0.26743,4.1385,3.3632
0.26915,4.213,3.1949
0.27089,4.2541,3.0309
0.27266,4.2675,2.8791
0.27445,4.2601,2.7437
0.27626,4.2385,2.6266
0.2781,4.2084,2.5274
0.27996,4.174,2.4448
0.28185,4.1386,2.3767
0.28376,4.1044,2.3213
0.2857,4.0727,2.2765
0.28766,4.0446,2.2405
0.28966,4.0205,2.2119
0.29168,4.0007,2.1892
0.29372,3.9852,2.1714
0.2958,3.9742,2.1576
0.29791,3.9674,2.1469
0.30005,3.9649,2.1388
0.30222,3.9664,2.1328
0.30442,3.972,2.1283
0.30665,3.9813,2.125
0.30891,3.9945,2.1225
0.31121,4.0113,2.1207
0.31354,4.0318,2.1193
0.31591,4.0559,2.118
0.31832,4.0837,2.1167
0.32076,4.1151,2.1153
0.32324,4.1504,2.1135
0.32576,4.1895,2.1112
0.32831,4.2326,2.1083
0.33091,4.28,2.1047
0.33355,4.3318,2.1001
0.33623,4.3882,2.0946
0.33896,4.4495,2.0879
0.34173,4.5159,2.0802
0.34454,4.5872,2.0714
0.34741,4.6629,2.0618
0.35032,4.7414,2.0523
0.35328,4.8193,2.0442
0.35629,4.8901,2.0402
0.35935,4.9446,2.0438
0.36246,4.9191,1.9203
0.36563,4.8163,1.6603
0.36886,4.7289,1.4929
0.37214,4.6408,1.3567
0.37548,4.5541,1.235
0.37888,4.4712,1.1202
0.38235,4.3936,1.0083
0.38588,4.3219,0.89703
0.38947,4.2562,0.78497
0.39313,4.1966,0.67125
0.39686,4.1432,0.55524
0.40066,4.1023,0.49316
0.40454,4.0719,0.48802
0.40849,4.0444,0.48206
0.41252,4.0195,0.47524
0.41663,3.997,0.46748
0.42082,3.9768,0.45872
0.4251,3.9587,0.44885
0.42947,3.9426,0.43771
0.43392,3.9282,0.42509
0.43847,3.9156,0.41065
0.44312,3.9045,0.39379
0.44786,3.8948,0.37325
0.45271,3.8861,0.34391
0.45767,3.8497,0.31703
0.46273,3.8284,0.3065
0.46791,3.8122,0.29444
0.4732,3.7991,0.28084
0.47862,3.7882,0.26547
0.48416,3.7791,0.24795
0.48983,3.7716,0.22767
0.49564,3.7656,0.20355
0.50158,3.7609,0.17345
0.50767,3.7574,0.13125
0.51391,3.7089,0.050464
0.5203,3.6496,0.047041
0.52686,3.6111,0.043442
0.53358,3.5797,0.039893
0.54048,3.5523,0.036464
0.54756,3.5276,0.033201
0.55482,3.5049,0.03014
0.56228,3.4838,0.027316
0.56994,3.4641,0.024764
0.57782,3.4455,0.022519
0.58591,3.4279,0.02062
0.59424,3.4111,0.019106
0.60281,3.3951,0.01802
0.61162,3.3798,0.017406
0.6207,3.3652,0.017002
0.63005,3.3512,0.016605
0.63969,3.3377,0.016216
0.64963,3.3247,0.015835
0.65988,3.3122,0.01546
0.67046,3.3001,0.015093
0.68138,3.2885,0.014733
0.69267,3.2773,0.01438
0.70433,3.2664,0.014033
0.7164,3.2559,0.013692
0.72889,3.2458,0.013358
0.74182,3.236,0.01303
0.75521,3.2265,0.012708
0.7691,3.2174,0.012391
0.78351,3.2085,0.01208
0.79847,3.1999,0.011775
0.81402,3.1915,0.011474
0.83018,3.1835,0.011179
0.84699,3.1757,0.010888
0.8645,3.1681,0.010602
0.88275,3.1608,0.010321
0.90179,3.1537,0.010044
0.92166,3.1468,0.0097711
0.94243,3.1401,0.0095025
0.96416,3.1337,0.0092378
0.98691,3.1274,0.0089769
1.0108,3.1214,0.0087197
1.0358,3.1155,0.0084661
1.0621,3.1099,0.0082159
1.0898,3.1044,0.007969
1.119,3.0991,0.0077254
1.1497,3.094,0.0074848
1.1822,3.0891,0.0072471
1.2166,3.0843,0.0070123
1.2531,3.0798,0.0067803
1.2918,3.0753,0.0065509
1.3329,3.0711,0.006324
1.3768,3.067,0.0060996
1.4237,3.063,0.0058775
1.4739,3.0592,0.0056577
1.5277,3.0556,0.00544
1.5857,3.0521,0.0052243
1.6482,3.0487,0.0050106
1.7158,3.0455,0.0047988
1.7892,3.0425,0.0045887
1.8692,3.0395,0.0043804
1.9566,3.0368,0.0041737
2.0527,3.0341,0.0039685
2.1586,3.0316,0.0037648
2.2761,3.0292,0.0035624
2.4071,3.027,0.0033614
2.5541,3.0249,0.0031616
2.7203,3.0229,0.0029629
2.9095,3.0211,0.0027653
3.1271,3.0193,0.0025686
3.3798,3.0178,0.0023729
3.677,3.0163,0.0021781
4.0315,3.0149,0.001984
4.4616,3.0137,0.0017907
4.9945,3.0126,0.0015979
5.6719,3.0117,0.0014058
6.5619,3.0108,0.0012141
7.7832,3.0101,0.0010229
9.5631,3.0095,0.00083205
12.398,3.0091,0.00064148