"Wavelength, µm","n"
0.56,3.1989533435188
0.5764,3.1749748370042
0.5928,3.1535833282389
0.6092,3.1344016259699
0.6256,3.1171213758519
0.642,3.1014880985835
0.6584,3.0872899690537
0.6748,3.0743492871664
0.6912,3.0625159150527
0.7076,3.0516621708297
0.724,3.0416788149712
0.7404,3.032471865832
0.7568,3.0239600511357
0.7732,3.0160727520681
0.7896,3.0087483324258
0.806,3.0019327713085
0.8224,2.9955785369891
0.8388,2.9896436538277
0.8552,2.9840909247648
0.8716,2.9788872800159
0.888,2.9740032287579
0.9044,2.9694123953469
0.9208,2.9650911252938
0.9372,2.9610181490952
0.9536,2.9571742942849
0.97,2.9535422378548
0.9864,2.9501062926226
1.003,2.9468136061722
1.019,2.9438037349758
1.036,2.940769527142
1.052,2.938057427491
1.068,2.9354752635986
1.085,2.9328647180922
1.101,2.9305248176087
1.118,2.9281550111103
1.134,2.9260272571251
1.15,2.9239929239219
1.167,2.9219276184581
1.183,2.9200689303896
1.2,2.918179119697
1.216,2.9164758998064
1.232,2.9148416623361
1.249,2.9131766391835
1.265,2.9116730099931
1.282,2.9101390820059
1.298,2.9087521040569
1.314,2.9074172170502
1.331,2.9060529995907
1.347,2.9048173272537
1.364,2.9035530830913
1.38,2.9024067062753
1.396,2.9013004232177
1.413,2.9001667822192
1.429,2.8991372547162
1.446,2.8980812161896
1.462,2.8971212294319
1.478,2.8961926144868
1.495,2.895238754574
1.511,2.8943704650352
1.528,2.8934777744863
1.544,2.8926644559232
1.56,2.8918760388603
1.577,2.8910644442977
1.593,2.8903240972788
1.61,2.8895613702296
1.626,2.8888650487764
1.642,2.888188743106
1.659,2.8874911950483
1.675,2.8868536607157
1.692,2.8861956164102
1.708,2.8855937503719
1.724,2.8850081527064
1.741,2.8844030804161
1.757,2.8838490912172
1.774,2.8832762892062
1.79,2.8827514943849
1.806,2.882240053242
1.823,2.8817107298276
1.839,2.8812253045166
1.856,2.8807225892387
1.872,2.8802612780697
1.888,2.8798110250077
1.905,2.879344312141
1.921,2.8789156549613
1.938,2.8784710650676
1.954,2.8780624887413
1.97,2.8776631420189
1.987,2.8772485999695
2.003,2.8768673174225
2.02,2.876471307062
2.036,2.8761068692907
2.052,2.8757501896427
2.069,2.8753794355454
2.085,2.8750379698109
2.102,2.8746828435516
2.118,2.8743556010682
2.134,2.8740349214101
2.151,2.873701159403
2.167,2.8733933722983
2.184,2.8730728690093
2.2,2.8727771627109